Order_ID,Order_Date,Customer_ID,Customer_Name,City,State,Region,Product_ID,Product_Name,Category,Quantity,Unit_Price,Discount,Salesperson,Payment_Mode,NetSales
O00071,30-03-2025,C0147,Customer 147,Hyderabad,Telangana,South,P009,Desk,Furniture,5,16000,8%,Priya,Credit Card,73600
O00072,08-04-2024,C0111,Customer 111,Ahmedabad,Gujarat,West,P005,Keyboard,Accessories,2,1800,5%,Vikram,Debit Card,3420
O00073,18-04-2024,C0151,Customer 151,Lucknow,Uttar Pradesh,North,P007,Headphones,Accessories,4,3200,20%,Priya,Credit Card,10240
O00074,22-08-2024,C0133,Customer 133,Nashik,Maharashtra,West,P007,Headphones,Accessories,2,3200,20%,Amit,Debit Card,5120
O00075,17-08-2024,C0236,Customer 236,Mumbai,Maharashtra,West,P013,Webcam,Electronics,1,4200,8%,Neha,Credit Card,3864
O00076,31-05-2025,C0027,Customer 27,Bengaluru,Karnataka,South,P002,Smartphone,Electronics,2,28000,2%,Karan,Credit Card,54880
O00077,18-10-2025,C0065,Customer 65,Surat,Gujarat,West,P004,Monitor,Electronics,5,14500,20%,Priya,Credit Card,58000
O00078,30-06-2024,C0159,Customer 159,Nashik,Maharashtra,West,P013,Webcam,Electronics,2,4200,2%,Rahul,UPI,8232
O00079,07-08-2024,C0195,Customer 195,Kochi,Kerala,South,P013,Webcam,Electronics,2,4200,10%,Karan,UPI,7560
O00080,21-01-2025,C0105,Customer 105,Delhi,Delhi,North,P001,Laptop,Electronics,2,55000,20%,Arjun,Credit Card,88000
O00081,26-04-2024,C0153,Customer 153,Jaipur,Rajasthan,North,P001,Laptop,Electronics,5,55000,0%,Karan,Credit Card,275000
O00082,31-07-2024,C0047,Customer 47,Ahmedabad,Gujarat,West,P006,Mouse,Accessories,6,950,0%,Rahul,Debit Card,5700
O00083,20-08-2024,C0185,Customer 185,Pune,Maharashtra,West,P015,USB Hub,Accessories,1,1400,2%,Amit,Debit Card,1372
O00084,12-01-2024,C0118,Customer 118,Nashik,Maharashtra,West,P007,Headphones,Accessories,5,3200,0%,Sneha,Credit Card,16000
O00085,01-05-2024,C0156,Customer 156,Ahmedabad,Gujarat,West,P008,Office Chair,Furniture,1,12500,5%,Neha,UPI,11875
O00086,10-02-2024,C0028,Customer 28,Hyderabad,Telangana,South,P005,Keyboard,Accessories,1,1800,5%,Arjun,Credit Card,1710
O00087,05-04-2025,C0161,Customer 161,Ahmedabad,Gujarat,West,P004,Monitor,Electronics,2,14500,0%,Sneha,UPI,29000
O00088,12-09-2024,C0134,Customer 134,Pune,Maharashtra,West,P003,Tablet,Electronics,2,18000,15%,Neha,Net Banking,30600
O00089,05-01-2024,C0242,Customer 242,Chennai,Tamil Nadu,South,P013,Webcam,Electronics,1,4200,5%,Amit,Credit Card,3990
O00090,08-10-2024,C0239,Customer 239,Mumbai,Maharashtra,West,P011,Notebook,Office Supplies,1,180,20%,Rahul,Credit Card,144
O00091,08-04-2024,C0161,Customer 161,Pune,Maharashtra,West,P009,Desk,Furniture,1,16000,0%,Arjun,Net Banking,16000
O00092,06-10-2025,C0209,Customer 209,Ahmedabad,Gujarat,West,P015,USB Hub,Accessories,6,1400,5%,Vikram,Debit Card,7980
O00093,24-05-2024,C0202,Customer 202,Bengaluru,Karnataka,South,P003,Tablet,Electronics,1,18000,2%,Amit,Cash,17640
O00094,24-03-2025,C0205,Customer 205,Thane,Maharashtra,West,P014,External SSD,Electronics,2,8500,8%,Priya,UPI,15640
O00095,04-11-2025,C0039,Customer 39,Bengaluru,Karnataka,South,P010,Printer,Office Supplies,2,11500,10%,Neha,Net Banking,20700
O00096,04-02-2025,C0054,Customer 54,Hyderabad,Telangana,South,P005,Keyboard,Accessories,1,1800,0%,Arjun,Debit Card,1800
O00097,10-03-2025,C0142,Customer 142,Pune,Maharashtra,West,P011,Notebook,Office Supplies,4,180,8%,Neha,Credit Card,662.4
O00098,30-11-2024,C0098,Customer 98,Pune,Maharashtra,West,P014,External SSD,Electronics,1,8500,15%,Priya,Credit Card,7225
O00099,25-06-2025,C0225,Customer 225,Jaipur,Rajasthan,North,P015,USB Hub,Accessories,2,1400,10%,Vikram,Debit Card,2520
O00100,25-11-2024,C0138,Customer 138,Jaipur,Rajasthan,North,P001,Laptop,Electronics,2,55000,0%,Vikram,Cash,110000
O00101,05-05-2024,C0053,Customer 53,Pune,Maharashtra,West,P013,Webcam,Electronics,2,4200,2%,Rahul,Credit Card,8232
O00102,08-01-2025,C0151,Customer 151,Delhi,Delhi,North,P015,USB Hub,Accessories,2,1400,0%,Priya,UPI,2800
O00103,02-04-2024,C0195,Customer 195,Nashik,Maharashtra,West,P011,Notebook,Office Supplies,5,180,8%,Rahul,UPI,828
O00104,12-11-2025,C0005,Customer 5,Pune,Maharashtra,West,P012,Backpack,Accessories,1,2200,0%,Amit,Credit Card,2200
O00105,29-06-2025,C0012,Customer 12,Bengaluru,Karnataka,South,P014,External SSD,Electronics,1,8500,5%,Rahul,UPI,8075
O00106,01-08-2024,C0249,Customer 249,Bhubaneswar,Odisha,East,P009,Desk,Furniture,1,16000,15%,Arjun,Credit Card,13600
O00107,13-09-2024,C0081,Customer 81,Bengaluru,Karnataka,South,P004,Monitor,Electronics,1,14500,8%,Priya,UPI,13340
O00108,09-06-2025,C0127,Customer 127,Jaipur,Rajasthan,North,P006,Mouse,Accessories,2,950,5%,Karan,Debit Card,1805
O00109,07-11-2024,C0154,Customer 154,Kolkata,West Bengal,East,P011,Notebook,Office Supplies,1,180,8%,Arjun,Credit Card,165.6
O00110,30-09-2024,C0239,Customer 239,Hyderabad,Telangana,South,P013,Webcam,Electronics,1,4200,5%,Arjun,UPI,3990
O00111,14-12-2025,C0119,Customer 119,Ahmedabad,Gujarat,West,P012,Backpack,Accessories,2,2200,10%,Sneha,UPI,3960
O00112,08-06-2025,C0044,Customer 44,Lucknow,Uttar Pradesh,North,P001,Laptop,Electronics,2,55000,8%,Rahul,Debit Card,101200
O00113,20-04-2024,C0146,Customer 146,Bhubaneswar,Odisha,East,P004,Monitor,Electronics,2,14500,5%,Karan,Credit Card,27550
O00114,04-09-2025,C0083,Customer 83,Bengaluru,Karnataka,South,P009,Desk,Furniture,1,16000,8%,Neha,UPI,14720
O00115,11-01-2025,C0059,Customer 59,Kochi,Kerala,South,P006,Mouse,Accessories,1,950,0%,Sneha,Credit Card,950
O00116,21-03-2025,C0112,Customer 112,Thane,Maharashtra,West,P014,External SSD,Electronics,1,8500,0%,Arjun,Net Banking,8500
O00117,09-02-2024,C0131,Customer 131,Nashik,Maharashtra,West,P015,USB Hub,Accessories,2,1400,20%,Sneha,Credit Card,2240
O00118,07-10-2025,C0220,Customer 220,Chennai,Tamil Nadu,South,P004,Monitor,Electronics,5,14500,5%,Sneha,Debit Card,68875
O00119,15-12-2025,C0185,Customer 185,Pune,Maharashtra,West,P015,USB Hub,Accessories,2,1400,2%,Priya,UPI,2744
O00120,24-12-2025,C0154,Customer 154,Surat,Gujarat,West,P004,Monitor,Electronics,2,14500,2%,Arjun,Debit Card,28420
O00121,18-05-2024,C0142,Customer 142,Surat,Gujarat,West,P005,Keyboard,Accessories,4,1800,5%,Rahul,UPI,6840
O00122,17-09-2024,C0178,Customer 178,Jaipur,Rajasthan,North,P010,Printer,Office Supplies,1,11500,20%,Vikram,Debit Card,9200
O00123,04-09-2025,C0084,Customer 84,Mumbai,Maharashtra,West,P015,USB Hub,Accessories,1,1400,0%,Arjun,Credit Card,1400
O00124,04-04-2024,C0247,Customer 247,Nashik,Maharashtra,West,P014,External SSD,Electronics,4,8500,10%,Priya,Credit Card,30600
O00125,16-05-2024,C0117,Customer 117,Jaipur,Rajasthan,North,P011,Notebook,Office Supplies,1,180,5%,Amit,Debit Card,171
O00126,16-08-2024,C0150,Customer 150,Hyderabad,Telangana,South,P013,Webcam,Electronics,1,4200,0%,Vikram,UPI,4200
O00127,13-02-2025,C0083,Customer 83,Chennai,Tamil Nadu,South,P014,External SSD,Electronics,4,8500,2%,Neha,Credit Card,33320
O00128,07-09-2025,C0040,Customer 40,Jaipur,Rajasthan,North,P007,Headphones,Accessories,1,3200,5%,Sneha,Credit Card,3040
O00129,26-10-2025,C0063,Customer 63,Bhubaneswar,Odisha,East,P001,Laptop,Electronics,1,55000,5%,Neha,Credit Card,52250
O00130,08-02-2024,C0104,Customer 104,Jaipur,Rajasthan,North,P003,Tablet,Electronics,1,18000,15%,Arjun,Debit Card,15300
O00131,14-09-2025,C0042,Customer 42,Thane,Maharashtra,West,P015,USB Hub,Accessories,2,1400,5%,Arjun,Credit Card,2660
O00132,06-04-2024,C0157,Customer 157,Surat,Gujarat,West,P009,Desk,Furniture,2,16000,10%,Amit,UPI,28800
O00133,31-05-2025,C0086,Customer 86,Pune,Maharashtra,West,P010,Printer,Office Supplies,4,11500,5%,Sneha,Credit Card,43700
O00134,03-08-2024,C0047,Customer 47,Thane,Maharashtra,West,P013,Webcam,Electronics,2,4200,5%,Karan,UPI,7980
O00135,15-11-2025,C0047,Customer 47,Thane,Maharashtra,West,P012,Backpack,Accessories,2,2200,8%,Rahul,Credit Card,4048
O00136,09-03-2024,C0026,Customer 26,Chennai,Tamil Nadu,South,P011,Notebook,Office Supplies,3,180,15%,Karan,Credit Card,459
O00137,11-12-2024,C0200,Customer 200,Delhi,Delhi,North,P015,USB Hub,Accessories,5,1400,0%,Vikram,UPI,7000
O00138,14-09-2025,C0210,Customer 210,Lucknow,Uttar Pradesh,North,P001,Laptop,Electronics,2,55000,8%,Priya,Credit Card,101200
O00139,06-05-2024,C0068,Customer 68,Ahmedabad,Gujarat,West,P008,Office Chair,Furniture,1,12500,8%,Neha,UPI,11500
O00140,22-10-2024,C0051,Customer 51,Kochi,Kerala,South,P014,External SSD,Electronics,3,8500,15%,Amit,UPI,21675
O00141,23-02-2025,C0149,Customer 149,Bengaluru,Karnataka,South,P014,External SSD,Electronics,1,8500,15%,Arjun,UPI,7225
O00142,22-10-2025,C0115,Customer 115,Jaipur,Rajasthan,North,P015,USB Hub,Accessories,1,1400,10%,Neha,Net Banking,1260
O00143,28-07-2025,C0117,Customer 117,Bengaluru,Karnataka,South,P009,Desk,Furniture,1,16000,10%,Sneha,UPI,14400
O00144,12-12-2024,C0210,Customer 210,Chennai,Tamil Nadu,South,P002,Smartphone,Electronics,2,28000,2%,Priya,Net Banking,54880
O00145,28-06-2024,C0182,Customer 182,Jaipur,Rajasthan,North,P009,Desk,Furniture,1,16000,15%,Amit,Debit Card,13600
O00146,04-06-2024,C0235,Customer 235,Surat,Gujarat,West,P010,Printer,Office Supplies,1,11500,5%,Amit,Cash,10925
O00147,07-12-2024,C0177,Customer 177,Thane,Maharashtra,West,P006,Mouse,Accessories,1,950,20%,Amit,UPI,760
O00148,02-08-2024,C0224,Customer 224,Kochi,Kerala,South,P014,External SSD,Electronics,1,8500,10%,Sneha,UPI,7650
O00149,21-04-2025,C0029,Customer 29,Mumbai,Maharashtra,West,P013,Webcam,Electronics,2,4200,5%,Neha,UPI,7980
O00150,12-07-2024,C0115,Customer 115,Bhubaneswar,Odisha,East,P002,Smartphone,Electronics,2,28000,5%,Sneha,Credit Card,53200
O00151,20-09-2024,C0063,Customer 63,Thane,Maharashtra,West,P001,Laptop,Electronics,3,55000,15%,Karan,UPI,140250
O00152,14-01-2025,C0211,Customer 211,Kolkata,West Bengal,East,P002,Smartphone,Electronics,3,28000,20%,Karan,Debit Card,67200
O00153,08-11-2024,C0093,Customer 93,Jaipur,Rajasthan,North,P001,Laptop,Electronics,1,55000,2%,Rahul,Credit Card,53900
O00154,26-08-2024,C0072,Customer 72,Surat,Gujarat,West,P009,Desk,Furniture,2,16000,15%,Priya,UPI,27200
O00155,18-03-2024,C0162,Customer 162,Nashik,Maharashtra,West,P008,Office Chair,Furniture,2,12500,10%,Karan,Credit Card,22500
O00156,07-01-2024,C0165,Customer 165,Surat,Gujarat,West,P005,Keyboard,Accessories,2,1800,10%,Vikram,UPI,3240
O00157,11-10-2024,C0125,Customer 125,Nashik,Maharashtra,West,P004,Monitor,Electronics,1,14500,15%,Arjun,Debit Card,12325
O00158,20-01-2025,C0011,Customer 11,Bengaluru,Karnataka,South,P015,USB Hub,Accessories,1,1400,0%,Priya,Debit Card,1400
O00159,13-08-2024,C0166,Customer 166,Kolkata,West Bengal,East,P009,Desk,Furniture,3,16000,2%,Neha,Debit Card,47040
O00160,06-06-2024,C0024,Customer 24,Mumbai,Maharashtra,West,P010,Printer,Office Supplies,2,11500,15%,Karan,UPI,19550
O00161,09-06-2025,C0114,Customer 114,Nashik,Maharashtra,West,P001,Laptop,Electronics,2,55000,8%,Amit,UPI,101200
O00162,08-05-2025,C0246,Customer 246,Surat,Gujarat,West,P011,Notebook,Office Supplies,6,180,5%,Vikram,Debit Card,1026
O00163,25-05-2024,C0037,Customer 37,Chennai,Tamil Nadu,South,P006,Mouse,Accessories,2,950,10%,Amit,UPI,1710
O00164,12-01-2025,C0017,Customer 17,Ahmedabad,Gujarat,West,P009,Desk,Furniture,2,16000,0%,Sneha,UPI,32000
O00165,31-12-2025,C0057,Customer 57,Bhubaneswar,Odisha,East,P006,Mouse,Accessories,2,950,8%,Amit,Credit Card,1748
O00166,20-04-2025,C0138,Customer 138,Kochi,Kerala,South,P001,Laptop,Electronics,3,55000,5%,Neha,UPI,156750
O00167,23-11-2025,C0107,Customer 107,Mumbai,Maharashtra,West,P003,Tablet,Electronics,2,18000,2%,Vikram,Net Banking,35280
O00168,05-07-2024,C0011,Customer 11,Thane,Maharashtra,West,P001,Laptop,Electronics,1,55000,5%,Neha,Credit Card,52250
O00169,09-03-2024,C0152,Customer 152,Surat,Gujarat,West,P006,Mouse,Accessories,2,950,2%,Arjun,UPI,1862
O00170,21-05-2025,C0227,Customer 227,Thane,Maharashtra,West,P011,Notebook,Office Supplies,2,180,5%,Neha,Credit Card,342
O00171,17-01-2024,C0073,Customer 73,Lucknow,Uttar Pradesh,North,P008,Office Chair,Furniture,1,12500,8%,Karan,Credit Card,11500
O00172,12-05-2025,C0039,Customer 39,Nashik,Maharashtra,West,P003,Tablet,Electronics,3,18000,8%,Sneha,UPI,49680
O00173,13-02-2024,C0012,Customer 12,Nashik,Maharashtra,West,P005,Keyboard,Accessories,3,1800,20%,Amit,Cash,4320
O00174,12-01-2024,C0055,Customer 55,Mumbai,Maharashtra,West,P015,USB Hub,Accessories,2,1400,15%,Karan,Debit Card,2380
O00175,08-01-2025,C0081,Customer 81,Delhi,Delhi,North,P005,Keyboard,Accessories,2,1800,20%,Neha,Credit Card,2880
O00176,03-05-2025,C0143,Customer 143,Chennai,Tamil Nadu,South,P010,Printer,Office Supplies,5,11500,0%,Neha,Credit Card,57500
O00177,26-03-2024,C0145,Customer 145,Delhi,Delhi,North,P010,Printer,Office Supplies,4,11500,0%,Vikram,Debit Card,46000
O00178,27-12-2025,C0115,Customer 115,Jaipur,Rajasthan,North,P002,Smartphone,Electronics,3,28000,10%,Priya,Net Banking,75600
O00179,06-09-2025,C0146,Customer 146,Chennai,Tamil Nadu,South,P010,Printer,Office Supplies,1,11500,8%,Rahul,Credit Card,10580
O00180,19-06-2024,C0045,Customer 45,Pune,Maharashtra,West,P003,Tablet,Electronics,1,18000,8%,Priya,Credit Card,16560
O00181,14-12-2024,C0120,Customer 120,Mumbai,Maharashtra,West,P004,Monitor,Electronics,2,14500,10%,Amit,Net Banking,26100
O00182,25-03-2025,C0170,Customer 170,Hyderabad,Telangana,South,P014,External SSD,Electronics,1,8500,15%,Sneha,UPI,7225
O00183,19-02-2025,C0013,Customer 13,Kochi,Kerala,South,P002,Smartphone,Electronics,4,28000,0%,Sneha,Credit Card,112000
O00184,13-11-2024,C0190,Customer 190,Mumbai,Maharashtra,West,P013,Webcam,Electronics,2,4200,8%,Karan,UPI,7728
O00185,24-12-2024,C0121,Customer 121,Bengaluru,Karnataka,South,P014,External SSD,Electronics,2,8500,10%,Amit,UPI,15300
O00186,19-11-2024,C0142,Customer 142,Jaipur,Rajasthan,North,P014,External SSD,Electronics,2,8500,8%,Karan,UPI,15640
O00187,02-02-2025,C0238,Customer 238,Bhubaneswar,Odisha,East,P009,Desk,Furniture,1,16000,8%,Priya,Cash,14720
O00188,14-01-2025,C0037,Customer 37,Kochi,Kerala,South,P005,Keyboard,Accessories,1,1800,15%,Sneha,Debit Card,1530
O00189,01-06-2024,C0062,Customer 62,Kochi,Kerala,South,P002,Smartphone,Electronics,2,28000,0%,Karan,Net Banking,56000
O00190,30-08-2024,C0063,Customer 63,Surat,Gujarat,West,P005,Keyboard,Accessories,2,1800,2%,Neha,Credit Card,3528
O00191,15-09-2024,C0169,Customer 169,Mumbai,Maharashtra,West,P010,Printer,Office Supplies,3,11500,10%,Sneha,Cash,31050
O00192,20-01-2024,C0177,Customer 177,Lucknow,Uttar Pradesh,North,P003,Tablet,Electronics,6,18000,0%,Neha,Credit Card,108000
O00193,03-08-2024,C0082,Customer 82,Kolkata,West Bengal,East,P001,Laptop,Electronics,4,55000,5%,Vikram,UPI,209000
O00194,02-08-2025,C0239,Customer 239,Lucknow,Uttar Pradesh,North,P009,Desk,Furniture,2,16000,0%,Amit,Credit Card,32000
O00195,10-10-2025,C0123,Customer 123,Hyderabad,Telangana,South,P013,Webcam,Electronics,1,4200,10%,Neha,Net Banking,3780
O00196,29-01-2025,C0040,Customer 40,Lucknow,Uttar Pradesh,North,P005,Keyboard,Accessories,1,1800,5%,Arjun,UPI,1710
O00197,29-03-2025,C0133,Customer 133,Bengaluru,Karnataka,South,P002,Smartphone,Electronics,5,28000,0%,Priya,UPI,140000
O00198,27-10-2024,C0081,Customer 81,Pune,Maharashtra,West,P008,Office Chair,Furniture,2,12500,8%,Neha,Credit Card,23000
O00199,15-10-2024,C0040,Customer 40,Pune,Maharashtra,West,P008,Office Chair,Furniture,4,12500,10%,Karan,UPI,45000
O00200,28-12-2024,C0059,Customer 59,Chennai,Tamil Nadu,South,P009,Desk,Furniture,1,16000,15%,Priya,Debit Card,13600
